lenovo;ideaPad;2;16;3.1;2.1;2.3;37.8;26.0
huawei;matebook;4;8;3.9;1.25;1.5;28.6;21.1
hp;pavilion 17;6;16;4.1;3.07;3.0;41.6;27.9
asus;f540;4;4;2.7;2.0;2.7;38.1;25.2
acer;swift 3;4;8;4.0;1.45;1.9;32.3;22.8
asus;vivobook s13;2;4;3.4;1.2;1.8;30.5;19.6
irbis;ib 211;2;3;2.4;1.1;1.6;28.1;19.4
apple;macbook;2;8;3.0;0.92;1.3;28.0;19.7
acer;swift 3;8;4;4.0;1.45;1.9;32.3;22.8
apple;macbook air;16;2;3.6;1.25;1.56;30.41;21.24
apple;macbook air;16;2;3.6;1.25;1.56;30.41;21.24
